Date,Open,High,Low,Close,Adj Close,Volume,,
"May 25, 2021",10.81,10.81,10.81,10.81,10.664957,100,,
"May 26, 2021",10.81,10.81,10.81,10.81,10.664957,100,,
"May 27, 2021",12.25,12.25,11.83,12.15,11.986977,10900,,
"May 28, 2021",12.15,12.15,12.15,12.15,11.986977,0,,
"June 01, 2021",12.554,12.554,12.554,12.554,12.385556,100,,
"June 02, 2021",13.335,13.335,13.335,13.335,13.156077,100,,
"June 03, 2021",12.88,13.779,12.88,13.779,13.59412,800,,
"June 04, 2021",13.778,13.778,13.778,13.778,13.593133,300,,
"June 07, 2021",13.25,13.25,13.25,13.25,13.072218,5800,,
"June 08, 2021",13.25,13.25,13.25,13.25,13.072218,0,,
"June 09, 2021",13.25,13.25,13.25,13.25,13.072218,0,,
"June 10, 2021",13.25,13.25,13.25,13.25,13.072218,0,,
"June 11, 2021",13.25,13.25,13.25,13.25,13.072218,0,,
"June 14, 2021",12.99,12.99,12.99,12.99,12.815706,200,,
"June 15, 2021",13.1,13.3,13.1,13.1,12.924231,3200,,
"June 16, 2021",14.009,14.009,14.009,14.009,13.821033,200,,
"June 17, 2021",14.009,14.009,14.009,14.009,13.821033,0,,
"June 18, 2021",14.009,14.009,14.009,14.009,13.821033,0,,
"June 21, 2021",12.75,12.75,12.75,12.75,12.578926,300,,
"June 22, 2021",12.75,12.75,12.75,12.75,12.578926,0,,
"June 23, 2021",13.3,13.3,12.865,12.865,12.692383,1000,,
"June 24, 2021",12.865,12.865,12.865,12.865,12.692383,0,,
"June 25, 2021",12.865,12.865,12.865,12.865,12.692383,0,,
"June 28, 2021",13.9,13.9,13.1,13.1,12.924231,5900,,
"June 29, 2021",12.9,13.8,12.9,13.35,13.170877,4400,,
"June 30, 2021",13.35,13.35,13.35,13.35,13.170877,100,,
"July 01, 2021",13.598,13.598,13.598,13.598,13.415547,100,,
"July 02, 2021",13.28,13.36,13.28,13.36,13.180741,400,,
"July 06, 2021",12.45,12.45,12.45,12.45,12.282951,1100,,
"July 07, 2021",12.45,12.45,12.45,12.45,12.282951,0,,
"July 08, 2021",12.45,12.45,12.45,12.45,12.282951,0,,
"July 09, 2021",12.45,12.45,12.45,12.45,12.282951,0,,
"July 12, 2021",13.22,13.22,13.22,13.22,13.042621,300,,
"July 13, 2021",13.22,13.22,13.22,13.22,13.042621,0,,
"July 14, 2021",12.329,12.329,12.328,12.328,12.162589,800,,
"July 15, 2021",12.328,12.328,12.328,12.328,12.162589,100,,
"July 16, 2021",11.61,12.17,11.61,11.621,11.465075,4000,,
"July 19, 2021",12.054,12.054,11.62,11.62,11.464088,1500,,
"July 20, 2021",11.84,11.84,11.84,11.84,11.681136,200,,
"July 21, 2021",11.84,11.84,11.84,11.84,11.681136,100,,
"July 22, 2021",11.84,11.84,11.84,11.84,11.681136,100,,
"July 23, 2021",11.82,11.82,11.82,11.82,11.661405,700,,
"July 26, 2021",11.82,11.82,11.82,11.82,11.661405,0,,
"July 27, 2021",11.5,11.5,11.42,11.42,11.266771,300,,
"July 28, 2021",11.42,11.42,11.42,11.42,11.266771,0,,
"July 29, 2021",11.42,11.42,11.42,11.42,11.266771,0,,
"July 30, 2021",11.368,11.368,11.368,11.368,11.215469,200,,
"August 02, 2021",10.723,10.723,10.72,10.72,10.576164,1000,,
"August 03, 2021",10.94,10.94,10.94,10.94,10.793212,400,,
"August 04, 2021",10.94,10.94,10.94,10.94,10.793212,0,,
"August 05, 2021",10.94,10.94,10.94,10.94,10.793212,0,,
"August 06, 2021",10.94,10.94,10.94,10.94,10.793212,0,,
"August 09, 2021",11.48,11.48,10.999,10.999,10.85142,900,,
"August 10, 2021",10.999,10.999,10.999,10.999,10.85142,0,,
"August 11, 2021",10.999,10.999,10.999,10.999,10.85142,0,,
"August 12, 2021",10.999,10.999,10.999,10.999,10.85142,0,,
"August 13, 2021",10.999,10.999,10.999,10.999,10.85142,0,,
"August 16, 2021",11.39,11.39,11.39,11.39,11.237175,2000,,
"August 17, 2021",11.39,11.39,11.39,11.39,11.237175,0,,
"August 18, 2021",11.39,11.39,11.39,11.39,11.237175,0,,
"August 19, 2021",10.9,10.9,10.82,10.82,10.674822,800,,
"August 20, 2021",10.82,10.82,10.82,10.82,10.674822,0,,
"August 23, 2021",11.888,11.888,11.888,11.888,11.728492,100,,
"August 24, 2021",11.888,11.888,11.888,11.888,11.728492,0,,
"August 25, 2021",11.31,11.31,11.31,11.31,11.158248,400,,
"August 26, 2021",11.31,11.31,11.31,11.31,11.158248,0,,
"August 27, 2021",11.665,12.04,11.665,12.04,11.878452,1600,,
"August 30, 2021",12.04,12.04,12.04,12.04,11.878452,0,,
"August 31, 2021",12.04,12.04,12.04,12.04,11.878452,0,,
"September 01, 2021",12.04,12.04,12.04,12.04,11.878452,0,,
"September 02, 2021",11.03,11.03,11.03,11.03,10.882004,300,,
"September 03, 2021",11.03,11.03,11.03,11.03,10.882004,100,,
"September 07, 2021",11.515,11.515,11.515,11.515,11.360497,200,,
"September 08, 2021",11.605,11.605,11.605,11.605,11.449289,1100,,
